id,product_id,quantity,measure
b2c3d4e5-0001-4000-8000-000000000001,a1b2c3d4-0001-4000-8000-000000000001,120,kilogram
b2c3d4e5-0001-4000-8000-000000000002,a1b2c3d4-0001-4000-8000-000000000002,85,litre
b2c3d4e5-0001-4000-8000-000000000003,a1b2c3d4-0001-4000-8000-000000000003,45,pieces
b2c3d4e5-0001-4000-8000-000000000004,a1b2c3d4-0001-4000-8000-000000000004,60,pieces
b2c3d4e5-0001-4000-8000-000000000005,a1b2c3d4-0001-4000-8000-000000000005,200,kilogram
b2c3d4e5-0001-4000-8000-000000000006,a1b2c3d4-0001-4000-8000-000000000006,30,litre
b2c3d4e5-0001-4000-8000-000000000007,a1b2c3d4-0001-4000-8000-000000000007,25,kilogram
b2c3d4e5-0001-4000-8000-000000000008,a1b2c3d4-0001-4000-8000-000000000008,40,kilogram
b2c3d4e5-0001-4000-8000-000000000009,a1b2c3d4-0001-4000-8000-000000000009,15,kilogram
b2c3d4e5-0001-4000-8000-000000000010,a1b2c3d4-0001-4000-8000-000000000010,50,kilogram
b2c3d4e5-0001-4000-8000-000000000011,a1b2c3d4-0001-4000-8000-000000000011,75,kilogram
b2c3d4e5-0001-4000-8000-000000000012,a1b2c3d4-0001-4000-8000-000000000012,90,pieces
b2c3d4e5-0001-4000-8000-000000000013,a1b2c3d4-0001-4000-8000-000000000013,35,kilogram
b2c3d4e5-0001-4000-8000-000000000014,a1b2c3d4-0001-4000-8000-000000000014,100,kilogram
b2c3d4e5-0001-4000-8000-000000000015,a1b2c3d4-0001-4000-8000-000000000015,60,litre
b2c3d4e5-0001-4000-8000-000000000016,a1b2c3d4-0001-4000-8000-000000000016,20,kilogram
b2c3d4e5-0001-4000-8000-000000000017,a1b2c3d4-0001-4000-8000-000000000017,150,pieces
b2c3d4e5-0001-4000-8000-000000000018,a1b2c3d4-0001-4000-8000-000000000018,40,kilogram
b2c3d4e5-0001-4000-8000-000000000019,a1b2c3d4-0001-4000-8000-000000000019,110,pieces
b2c3d4e5-0001-4000-8000-000000000020,a1b2c3d4-0001-4000-8000-000000000020,45,litre
b2c3d4e5-0001-4000-8000-000000000021,a1b2c3d4-0001-4000-8000-000000000021,55,kilogram
b2c3d4e5-0001-4000-8000-000000000022,a1b2c3d4-0001-4000-8000-000000000022,10,kilogram
b2c3d4e5-0001-4000-8000-000000000023,a1b2c3d4-0001-4000-8000-000000000023,25,kilogram
b2c3d4e5-0001-4000-8000-000000000024,a1b2c3d4-0001-4000-8000-000000000024,80,pieces
b2c3d4e5-0001-4000-8000-000000000025,a1b2c3d4-0001-4000-8000-000000000025,65,kilogram
b2c3d4e5-0001-4000-8000-000000000026,a1b2c3d4-0001-4000-8000-000000000026,70,kilogram
b2c3d4e5-0001-4000-8000-000000000027,a1b2c3d4-0001-4000-8000-000000000027,55,litre
b2c3d4e5-0001-4000-8000-000000000028,a1b2c3d4-0001-4000-8000-000000000028,30,kilogram
b2c3d4e5-0001-4000-8000-000000000029,a1b2c3d4-0001-4000-8000-000000000029,95,pieces
b2c3d4e5-0001-4000-8000-000000000030,a1b2c3d4-0001-4000-8000-000000000030,40,litre
